system:index,A2015040,A2015041,A2015042,id,.geo
A20150401_0000_0,315.8621520996094,320.8438415527344,321.5936279296875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.54859931087773,26.557191000167748]}"
A20150401_0000_1,312.17230224609375,321.7938537597656,321.5162353515625,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14691430281763,28.164266470245117]}"
A20150401_0000_2,315.7021484375,320.4138488769531,320.71148681640625,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18250130185268,26.869677897127232]}"
A20150401_0000_3,317.0174560546875,320.8238525390625,323.08148193359375,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.54851545141847,27.15538020291877]}"
A20150401_0000_4,314.5921630859375,321.2338562011719,321.8135986328125,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93255371401474,26.887534291239206]}"
A20150401_0000_5,315.39215087890625,320.9638366699219,321.6312561035156,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11111765513445,26.575047394279714]}"
A20150401_0000_6,316.8530578613281,320.8138427734375,321.4912414550781,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.95032624866744,26.146493935592417]}"
A20150401_0000_7,311.8923034667969,320.94384765625,321.2962646484375,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45935927004749,28.574963534820448]}"
A20150401_0000_8,317.0174560546875,321.9138488769531,323.8614807128906,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3967361014667,27.244662173478623]}"
A20150401_0000_9,313.9693908691406,321.00384521484375,321.08123779296875,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.9235835872291,27.280374961702563]}"
A20150401_0000_10,316.3221435546875,321.2238464355469,321.9412536621094,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.968224572509,26.45898083255191]}"
A20150401_0000_11,313.9693908691406,321.00384521484375,321.08123779296875,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.79858882844533,27.47679529693424]}"
A20150401_0000_12,314.192138671875,320.51385498046875,321.20147705078125,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2896396665245,27.217877582310663]}"
A20150401_0000_13,311.9923095703125,321.9238586425781,321.9362487792969,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66479166179445,28.02141531734935]}"
A20150401_0000_14,316.81304931640625,319.8538513183594,321.98126220703125,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84314595426596,26.414339847271982]}"
A20150401_0000_15,311.7723083496094,320.7938537597656,321.6862487792969,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.50404218505705,27.45001070576629]}"
A20150401_0000_16,315.57305908203125,320.183837890625,321.011474609375,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.93246985455542,26.557191000167748]}"
A20150401_0000_17,310.66229248046875,320.4738464355469,323.38360595703125,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63800707062646,30.182039004897817]}"
A20150401_0000_18,312.2123107910156,321.74383544921875,321.6862487792969,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78085822352224,27.842851376229646]}"
A20150401_0000_19,316.3221435546875,321.2238464355469,321.9412536621094,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.97715276956504,26.49469362077585]}"
